TOWN,ZIP_CODE,NO_BEDROOMS,BTH_DESC,SQUARE_FEET,YEAR_BUILT,GARAGE_SPACES_CC,SALE_PRICE
"Boston, MA",2127,2,1f 0h,875,2024,0,745000.00
"Boston, MA",2128,1,1f 0h,525,2024,0,504000.00
"Boston, MA",2118,1,1f 0h,592,1890,0,715000.00
"Boston, MA",2115,2,2f 0h,836,1900,0,1150000.00
"Boston, MA",2127,2,2f 0h,1388,2017,2,1195000.00
"Boston, MA",2131,3,2f 1h,1829,2018,0,950000.00
"Boston, MA",2128,2,2f 1h,1260,2024,0,790500.00
"Boston, MA",2128,2,2f 1h,1037,2024,0,776650.00
"Boston, MA",2128,2,2f 0h,944,1900,0,588000.00
"Boston, MA",2130,2,2f 0h,1310,1964,1,695000.00
"Boston, MA",2114,2,2f 0h,1285,1967,1,792000.00
"Boston, MA",2127,3,3f 0h,1978,1890,0,1250000.00
"Boston, MA",2116,1,1f 0h,1020,1870,0,1200000.00
"Boston, MA",2129,2,1f 1h,1100,1801,0,1095000.00
"Boston, MA",2118,1,1f 0h,832,1910,0,838000.00
"Boston, MA",2127,2,2f 1h,1074,2014,0,783000.00
"Boston, MA",2114,1,1f 0h,605,1914,0,570000.00
"Boston, MA",2118,3,3f 0h,2241,1999,1,3200000.00
"Boston, MA",2128,1,1f 0h,990,1912,0,565000.00
"Boston, MA",2116,1,1f 0h,747,1865,0,885000.00
"Boston, MA",2109,2,1f 0h,1120,1856,0,1079000.00
"Boston, MA",2134,2,1f 0h,1000,1920,0,610000.00
"Boston, MA",2109,2,2f 0h,1454,1853,0,1467500.00
"Boston, MA",2114,2,1f 0h,958,1880,0,1210000.00
"Boston, MA",2130,2,1f 0h,1050,1910,0,579900.00
"Boston, MA",2116,1,1f 1h,1230,1900,0,1180000.00
"Boston, MA",2215,0,1f 0h,431,1930,0,435000.00
"Boston, MA",2118,2,1f 0h,735,1900,0,749000.00
"Boston, MA",2128,2,2f 0h,1053,2024,0,660000.00
"Boston, MA",2118,3,2f 1h,1775,1890,0,2250000.00
"Boston, MA",2127,3,3f 0h,1779,2021,1,1599000.00
"Boston, MA",2118,3,3f 1h,2552,1853,1,2850000.00
"Boston, MA",2127,2,2f 0h,1453,2021,1,1250000.00
"Boston, MA",2135,2,2f 0h,951,2018,0,845000.00
"Boston, MA",2129,3,2f 0h,1404,1884,0,1202500.00
"Boston, MA",2118,2,2f 1h,1530,1999,1,1640000.00
"Boston, MA",2134,3,2f 1h,1900,1986,1,950000.00
"Boston, MA",2108,2,2f 0h,1155,1850,0,1536374.75
"Boston, MA",2127,1,1f 0h,429,1920,0,451000.00
"Boston, MA",2127,3,2f 1h,1637,2014,1,1187000.00
"Boston, MA",2116,1,1f 0h,604,1850,0,725000.00
"Boston, MA",2115,0,1f 0h,388,2019,0,783500.00
"Boston, MA",2129,1,1f 0h,775,1830,0,637500.00
"Boston, MA",2119,3,1f 1h,1315,1900,0,699000.00
"Boston, MA",2129,3,2f 0h,1348,1850,0,1199000.00
"Boston, MA",2127,2,2f 0h,1082,2017,2,940000.00
"Boston, MA",2127,3,3f 1h,2771,2016,0,1944000.00
"Boston, MA",2114,1,1f 0h,942,1964,0,650000.00
"Boston, MA",2116,1,1f 0h,739,1899,0,825000.00
"Boston, MA",2118,2,1f 0h,732,1899,0,739000.00
"Boston, MA",2135,3,3f 1h,1916,2017,1,1100000.00
"Boston, MA",2127,3,2f 1h,1720,2024,1,1530000.00
"Boston, MA",2118,2,2f 0h,1629,2006,1,2195000.00
"Boston, MA",2215,0,1f 0h,443,1920,0,470000.00
"Boston, MA",2115,2,1f 0h,790,1889,0,1020000.00
"Boston, MA",2129,2,1f 1h,870,1920,0,820000.00
"Boston, MA",2118,2,2f 0h,1085,2018,0,1145000.00
"Boston, MA",2114,0,1f 0h,460,1952,0,515000.00
"Boston, MA",2111,2,2f 0h,1378,2013,0,1455000.00
"Boston, MA",2127,1,1f 0h,755,1900,0,615000.00
"Boston, MA",2215,2,2f 0h,1297,1910,0,1310000.00
"Boston, MA",2118,2,1f 0h,712,1900,0,925000.00
"Boston, MA",2128,2,2f 0h,1091,2021,1,1190000.00
"Boston, MA",2118,2,1f 0h,813,1986,0,650000.00
"Boston, MA",2127,1,1f 0h,620,1899,0,400000.00
"Boston, MA",2129,2,1f 1h,1353,1900,0,899000.00
"Boston, MA",2215,2,1f 0h,961,1920,0,827500.00
"Boston, MA",2128,2,1f 0h,710,1910,0,495000.00
"Boston, MA",2135,3,2f 0h,1560,1915,0,750000.00
"Boston, MA",2127,2,1f 1h,1060,1890,0,750000.00
"Boston, MA",2116,0,1f 0h,426,2023,0,1199000.00
"Boston, MA",2108,2,1f 0h,867,1836,0,1165000.00
"Boston, MA",2130,2,2f 0h,813,1910,0,640000.00
"Boston, MA",2130,1,1f 0h,845,1963,1,440000.00
"Boston, MA",2110,2,2f 0h,1390,2023,1,2550000.00
"Boston, MA",2118,3,3f 1h,2218,1865,0,2855000.00
"Boston, MA",2127,2,2f 0h,1226,1906,1,945000.00
"Boston, MA",2130,2,1f 1h,1116,2013,1,755000.00
"Boston, MA",2127,2,2f 0h,1061,1905,0,795000.00
"Boston, MA",2135,2,2f 0h,1007,1920,0,613000.00
"Boston, MA",2130,2,1f 0h,1202,1905,0,552500.00
"Boston, MA",2116,2,2f 1h,1339,1925,0,1975000.00
"Boston, MA",2115,3,2f 0h,1337,1880,0,1776000.00
"Boston, MA",2115,3,2f 0h,1115,1880,0,1292000.00
"Boston, MA",2115,2,2f 0h,1207,1880,0,1500000.00
"Boston, MA",2130,1,1f 0h,741,1920,0,625000.00
"Boston, MA",2210,2,2f 1h,1338,2022,1,3049000.00
"Boston, MA",2130,2,1f 0h,1076,1905,0,590000.00
"Boston, MA",2116,0,1f 0h,450,1899,0,605000.00
"Boston, MA",2130,3,2f 0h,1200,1910,0,699000.00
"Boston, MA",2127,2,2f 0h,996,1905,1,815000.00
"Boston, MA",2110,1,1f 1h,1035,2023,0,1950000.00
"Boston, MA",2110,1,1f 0h,900,2023,0,1795000.00
"Boston, MA",2108,1,1f 0h,591,1899,0,658500.00
"Boston, MA",2127,1,1f 0h,635,1899,0,470000.00
"Boston, MA",2129,1,1f 0h,681,1899,0,580000.00
"Boston, MA",2116,3,2f 1h,2062,1899,0,4100000.00
"Boston, MA",2135,2,1f 0h,825,1920,0,405000.00
"Boston, MA",2110,1,1f 0h,758,1972,0,620000.00
"Boston, MA",2109,2,1f 1h,1149,1987,0,745000.00
"Boston, MA",2108,1,1f 0h,779,1930,0,1150000.00
"Boston, MA",2127,2,2f 0h,1148,2012,0,815000.00
"Boston, MA",2115,0,1f 0h,175,1900,0,395000.00
"Boston, MA",2128,2,2f 0h,968,2018,1,705000.00
"Boston, MA",2116,1,1f 0h,663,1878,0,778000.00
"Boston, MA",2116,1,1f 0h,686,1880,0,723000.00
"Boston, MA",2116,1,1f 0h,548,1869,0,750000.00
"Boston, MA",2116,1,1f 0h,640,1899,0,682000.00
"Boston, MA",2118,2,1f 0h,890,1899,0,1050000.00
"Boston, MA",2129,1,1f 0h,676,1899,0,620000.00
